PROLIFIC_PID,excluded,exclusion_reason,percent_missing,n_missing_items,percent_identical_responses,response_sd,completion_time_minutes,bottom_completion_percentile,littles_mcar_p_value,missing_pattern_systematic
5a6e8532e6cc4a0001b6d728,False,,0.0,0,37.5,0.9418581497197699,41.06666666666667,60.88082901554404,0.8105445574699165,False
654e6dcbb060f1ea2d712339,False,,0.0,0,71.875,0.6530017536902797,32.583333333333336,33.031088082901555,0.8105445574699165,False
6631185d17f78b1877ba88cb,False,,0.0,0,31.25,1.3060035073805594,36.23333333333333,45.59585492227979,0.8105445574699165,False
670cf1827819b4f39133584b,False,,0.0,0,62.5,0.5350610456580119,26.566666666666663,7.642487046632124,0.8105445574699165,False
61216580798476e2db75fc79,True,Excluded by criteria,0.0,0,100.0,0.0,28.33333333333333,12.04663212435233,0.8105445574699165,False
677f26f141f0ce49707accc6,False,,0.0,0,59.375,1.0776318121606494,63.4,90.15544041450777,0.8105445574699165,False
664f98c80beb5400a141ac91,False,,0.0,0,53.125,0.5679618342470648,29.83333333333333,21.37305699481865,0.8105445574699165,False
672b60eb227e2b01fd1f88b5,False,,0.0,0,100.0,0.0,36.7,48.70466321243523,0.8105445574699165,False
6781563ac4093eb7a7433ff3,False,,0.0,0,59.375,0.9913944236406651,47.5,73.57512953367875,0.8105445574699165,False
675c3fae9f1afa4c4207dab3,False,,0.0,0,50.0,0.8700899100741849,27.15,9.067357512953366,0.8105445574699165,False
673d814ffa7de7d961e6bc53,True,Excluded by criteria,0.0,0,93.75,0.24593468841898236,27.166666666666668,9.32642487046632,0.8105445574699165,False
661ea4cacedd4c83df3a2dcb,False,,0.0,0,43.75,0.8884337432408971,30.383333333333333,24.61139896373057,0.8105445574699165,False
67841f5e6071ec5527f9c27f,False,,0.0,0,37.5,0.8747119341485718,30.55,25.647668393782382,0.8105445574699165,False
6740484e188a64793529ee77,False,,0.0,0,56.25,0.9913944236406651,40.833333333333336,60.36269430051813,0.8105445574699165,False
60e5cb4ca01a593fce9a379d,False,,0.0,0,75.0,0.508000508000762,28.8,15.803108808290155,0.8105445574699165,False
