PROLIFIC_PID,task,condition,rt,accuracy_or_d_prime,efficiency_score
6773f03382962d5d8c2ca38a,MRT,angle_50,2.399663157894737,0.8260869565217391,2.9048554016620503
6773f03382962d5d8c2ca38a,MRT,angle_100,1.9690736842105263,0.8636363636363636,2.279980055401662
6773f03382962d5d8c2ca38a,MRT,angle_150,2.2152238095238097,0.875,2.531684353741497
6721aeda53346fd7b593efd7,MRT,angle_0,2.3222875000000003,1.0,2.3222875000000003
6721aeda53346fd7b593efd7,MRT,angle_50,2.901043478260869,0.9583333333333334,3.027175803402646
6721aeda53346fd7b593efd7,MRT,angle_100,3.066952173913044,0.9583333333333334,3.2002979206049154
6721aeda53346fd7b593efd7,MRT,angle_150,2.8939523809523813,0.875,3.3073741496598643
664f408259a7d76b52e2ae25,MRT,angle_0,2.278631818181818,0.9166666666666666,2.485780165289256
664f408259a7d76b52e2ae25,MRT,angle_50,2.5704136363636363,0.9166666666666666,2.8040876033057853
664f408259a7d76b52e2ae25,MRT,angle_100,3.2824599999999995,0.9090909090909092,3.610705999999999
664f408259a7d76b52e2ae25,MRT,angle_150,3.2520954545454543,0.9166666666666666,3.5477404958677687
678fa1020e5289062a7e76f0,MRT,angle_0,2.8605782608695653,0.9583333333333334,2.9849512287334594
678fa1020e5289062a7e76f0,MRT,angle_50,4.21035,0.75,5.6138
678fa1020e5289062a7e76f0,MRT,angle_100,4.088289999999999,0.4545454545454545,8.994238
678fa1020e5289062a7e76f0,MRT,angle_150,4.212082352941176,0.7083333333333334,5.9464692041522484
6699571ba83beb19c5acbfef,MRT,angle_0,1.9017391304347824,1.0,1.9017391304347824
6699571ba83beb19c5acbfef,MRT,angle_50,2.575681818181818,0.9166666666666666,2.809834710743802
6699571ba83beb19c5acbfef,MRT,angle_100,3.056173913043479,1.0,3.056173913043479
6699571ba83beb19c5acbfef,MRT,angle_150,4.2368421052631575,0.7916666666666666,5.35180055401662
61233706eb1ec697c18d5aef,MRT,angle_0,2.1116818181818187,0.9166666666666666,2.303652892561984
61233706eb1ec697c18d5aef,MRT,angle_50,2.793816666666667,0.8181818181818182,3.414664814814815
61233706eb1ec697c18d5aef,MRT,angle_100,3.4691529411764708,0.7727272727272727,4.4894920415224915
61233706eb1ec697c18d5aef,MRT,angle_150,4.249966666666667,0.8181818181818182,5.1944037037037045
669adbdb7e97d6e53cb2d924,MRT,angle_0,2.9607391304347823,0.9583333333333334,3.0894669187145554
669adbdb7e97d6e53cb2d924,MRT,angle_50,4.021050000000001,0.8695652173913043,4.624207500000001
669adbdb7e97d6e53cb2d924,MRT,angle_100,4.89745,0.8695652173913043,5.632067500000001
669adbdb7e97d6e53cb2d924,MRT,angle_150,5.444470588235295,0.7391304347826086,7.3660484429065765
67343fb98c1f4f89ea821878,MRT,angle_0,1.1167562500000003,0.6956521739130435,1.6053371093750006
67343fb98c1f4f89ea821878,MRT,angle_50,0.8737769230769229,0.5652173913043478,1.545913017751479
67343fb98c1f4f89ea821878,MRT,angle_100,0.8461071428571428,0.6086956521739131,1.390033163265306
67343fb98c1f4f89ea821878,MRT,angle_150,0.8431083333333333,0.5217391304347826,1.615957638888889
676fac81dc17021dfb5fad67,MRT,angle_0,1.909438888888889,0.782608695652174,2.4398385802469136
676fac81dc17021dfb5fad67,MRT,angle_50,2.619643478260869,1.0,2.619643478260869
676fac81dc17021dfb5fad67,MRT,angle_100,3.5855090909090914,0.9166666666666666,3.911464462809918
676fac81dc17021dfb5fad67,MRT,angle_150,3.958313636363636,0.9166666666666666,4.318160330578512
612039d9400fae9545b3c5a8,MRT,angle_0,2.3145400000888885,0.9782608695652174,2.365974222313086
612039d9400fae9545b3c5a8,MRT,angle_50,2.9901431819090907,0.9565217391304348,3.1260587810867766
612039d9400fae9545b3c5a8,MRT,angle_100,3.4770023810476185,0.8936170212765957,3.89093123593424
612039d9400fae9545b3c5a8,MRT,angle_150,3.422268181795455,0.9361702127659576,3.6556046487360536
65d863e56337aa59292ccd66,MRT,angle_0,1.2561739130434786,1.0,1.2561739130434786
65d863e56337aa59292ccd66,MRT,angle_50,1.7402999999999995,0.8333333333333334,2.0883599999999993
65d863e56337aa59292ccd66,MRT,angle_100,1.620909090909091,0.9565217391304348,1.6945867768595042
65d863e56337aa59292ccd66,MRT,angle_150,1.997421052631579,0.8260869565217391,2.417930747922438
6110b58d7063061e373e2fbc,MRT,angle_0,2.3755181818181814,0.9166666666666666,2.591474380165289
6110b58d7063061e373e2fbc,MRT,angle_50,2.931426666666667,0.6818181818181818,4.2994257777777785
6110b58d7063061e373e2fbc,MRT,angle_100,2.78425,0.782608695652174,3.5576527777777778
6110b58d7063061e373e2fbc,MRT,angle_150,2.9875,0.875,3.414285714285714
60fdc934e81b93f92f561d76,MRT,angle_0,2.67395652173913,1.0,2.67395652173913
60fdc934e81b93f92f561d76,MRT,angle_50,2.881208695652174,0.9583333333333334,3.006478638941399
60fdc934e81b93f92f561d76,MRT,angle_100,3.3472523809523813,0.9130434782608696,3.666038321995465
60fdc934e81b93f92f561d76,MRT,angle_150,3.280477777777778,0.782608695652174,4.191721604938272
6127017baee75f10aa174139,MRT,angle_0,1.5566238095238096,0.9130434782608696,1.7048736961451247
6127017baee75f10aa174139,MRT,angle_50,2.856081818181818,0.9565217391304348,2.985903719008264
6127017baee75f10aa174139,MRT,angle_100,3.6099260869565217,0.9583333333333334,3.766879395085066
6127017baee75f10aa174139,MRT,angle_150,3.816095652173912,0.9583333333333334,3.9820128544423428
6655fd511b6c8d1fd05de12d,MRT,angle_0,2.065125,0.9090909090909092,2.2716374999999998
6655fd511b6c8d1fd05de12d,MRT,angle_50,2.9252368421052624,0.7916666666666666,3.6950360110803318
6655fd511b6c8d1fd05de12d,MRT,angle_100,3.771825,0.6666666666666666,5.6577375000000005
6655fd511b6c8d1fd05de12d,MRT,angle_150,3.687342105263159,0.7916666666666666,4.657695290858728
5e968e6744b6d010b16540a4,MRT,angle_0,1.6376818181818178,0.9565217391304348,1.7121219008264459
5e968e6744b6d010b16540a4,MRT,angle_50,2.197454545454545,0.9166666666666666,2.3972231404958673
5e968e6744b6d010b16540a4,MRT,angle_100,3.083285714285714,0.9130434782608696,3.3769319727891154
5e968e6744b6d010b16540a4,MRT,angle_150,3.4482631578947367,0.8260869565217391,4.174213296398892
673a37f0ad04c995c8322ca6,MRT,angle_0,1.6111416666666665,1.0,1.6111416666666665
673a37f0ad04c995c8322ca6,MRT,angle_50,1.9242708333333327,1.0,1.9242708333333327
673a37f0ad04c995c8322ca6,MRT,angle_100,2.604718181818181,1.0,2.604718181818181
673a37f0ad04c995c8322ca6,MRT,angle_150,3.20144347826087,1.0,3.20144347826087
66f8367b5310ebb97346b93c,MRT,angle_0,1.642504545454546,0.9565217391304348,1.717163842975207
66f8367b5310ebb97346b93c,MRT,angle_50,1.932165,0.8333333333333334,2.3185979999999997
66f8367b5310ebb97346b93c,MRT,angle_100,2.2537947368421056,0.9047619047619048,2.491036288088643
66f8367b5310ebb97346b93c,MRT,angle_150,2.5737318181818187,0.9166666666666666,2.8077074380165294
610341bbc7f7114aea9a2cea,MRT,angle_0,3.1086590909090903,0.9166666666666666,3.3912644628099167
610341bbc7f7114aea9a2cea,MRT,angle_50,3.4725523809523806,0.875,3.9686312925170064
610341bbc7f7114aea9a2cea,MRT,angle_100,4.4240095238095245,0.9130434782608696,4.845343764172336
610341bbc7f7114aea9a2cea,MRT,angle_150,4.534625,0.6956521739130435,6.518523437500001
673e759016f888e8212c0c1f,MRT,angle_0,1.641731818181818,0.9166666666666666,1.790980165289256
673e759016f888e8212c0c1f,MRT,angle_50,1.9486571428571424,0.9130434782608696,2.1342435374149655
673e759016f888e8212c0c1f,MRT,angle_100,2.008004347826087,0.9583333333333334,2.095308884688091
673e759016f888e8212c0c1f,MRT,angle_150,1.968042105263158,0.8260869565217391,2.38236675900277
65fa95fafeda35caf378b6f9,MRT,angle_0,1.8627208333333336,1.0,1.8627208333333336
65fa95fafeda35caf378b6f9,MRT,angle_50,1.8687045454545457,0.9565217391304348,1.953645661157025
65fa95fafeda35caf378b6f9,MRT,angle_100,2.356939130434782,0.9583333333333334,2.459414744801512
65fa95fafeda35caf378b6f9,MRT,angle_150,2.678990476190476,0.875,3.061703401360544
67519b91595db9a046359da0,MRT,angle_0,1.8972869565217392,1.0,1.8972869565217392
67519b91595db9a046359da0,MRT,angle_50,2.601120833333333,1.0,2.601120833333333
67519b91595db9a046359da0,MRT,angle_100,2.8102695652173915,1.0,2.8102695652173915
67519b91595db9a046359da0,MRT,angle_150,3.16839,0.8333333333333334,3.802068
66122c3b55a1487b4e58e292,MRT,angle_0,1.3588350000000002,0.8333333333333334,1.630602
66122c3b55a1487b4e58e292,MRT,angle_50,1.4931434782608697,0.9583333333333334,1.5580627599243857
66122c3b55a1487b4e58e292,MRT,angle_100,2.080347368421053,0.7916666666666666,2.627807202216067
66122c3b55a1487b4e58e292,MRT,angle_150,1.8407764705882352,0.7083333333333334,2.5987432525951557
6575c6e1563027adb8f299cb,MRT,angle_0,1.9384624999999995,1.0,1.9384624999999995
6575c6e1563027adb8f299cb,MRT,angle_50,2.5288875,1.0,2.5288875
6575c6e1563027adb8f299cb,MRT,angle_100,3.05295652173913,0.9583333333333334,3.1856937618147443
6575c6e1563027adb8f299cb,MRT,angle_150,3.01625,0.9166666666666666,3.2904545454545455
672a89bc5e3d67a9fdbdf803,MRT,angle_0,3.183436363636363,0.9166666666666666,3.472839669421487
672a89bc5e3d67a9fdbdf803,MRT,angle_50,4.76425,0.9090909090909092,5.2406749999999995
672a89bc5e3d67a9fdbdf803,MRT,angle_100,4.448683333333333,0.75,5.931577777777778
672a89bc5e3d67a9fdbdf803,MRT,angle_150,4.2542647058823535,0.7727272727272727,5.505519031141869
5a9bbda1f6dfdd0001ea9639,MRT,angle_0,1.4496181818181817,0.9565217391304348,1.5155099173553717
5a9bbda1f6dfdd0001ea9639,MRT,angle_50,2.3025772727272726,0.9565217391304348,2.407239876033058
5a9bbda1f6dfdd0001ea9639,MRT,angle_100,2.830117391304348,1.0,2.830117391304348
5a9bbda1f6dfdd0001ea9639,MRT,angle_150,3.123647619047619,0.9130434782608696,3.4211378684807254
605e42cc59833acecfd3f301,MRT,angle_0,1.2725666666666666,1.0,1.2725666666666666
605e42cc59833acecfd3f301,MRT,angle_50,1.8430130434782608,1.0,1.8430130434782608
605e42cc59833acecfd3f301,MRT,angle_100,2.1161500000000006,0.8695652173913043,2.433572500000001
605e42cc59833acecfd3f301,MRT,angle_150,2.4701875,0.6956521739130435,3.5508945312500004
677d3cc83d0aa6a39541f5d6,MRT,angle_0,1.1389454545454547,0.9565217391304348,1.1907157024793389
677d3cc83d0aa6a39541f5d6,MRT,angle_50,1.9972055555555552,0.782608695652174,2.551984876543209
677d3cc83d0aa6a39541f5d6,MRT,angle_100,2.190823809523809,0.9130434782608696,2.3994736961451237
677d3cc83d0aa6a39541f5d6,MRT,angle_150,2.495121052631579,0.7916666666666666,3.1517318559556786
66e7a85e45c1132f1e2d12b6,MRT,angle_0,1.5247333333333335,1.0,1.5247333333333335
66e7a85e45c1132f1e2d12b6,MRT,angle_50,2.032347826086956,0.9583333333333334,2.1207107750472582
66e7a85e45c1132f1e2d12b6,MRT,angle_100,2.7689454545454555,0.9166666666666666,3.0206677685950423
66e7a85e45c1132f1e2d12b6,MRT,angle_150,2.8902545454545456,0.9565217391304348,3.021629752066116
667af5cc382d3037050e3632,MRT,angle_0,2.002545833333333,1.0,2.002545833333333
667af5cc382d3037050e3632,MRT,angle_50,3.4182043478260877,0.9583333333333334,3.5668219281663522
667af5cc382d3037050e3632,MRT,angle_100,3.8799,0.7727272727272727,5.021047058823529
667af5cc382d3037050e3632,MRT,angle_150,4.204381818181817,0.9565217391304348,4.395490082644627
65d563ecf8df20ade2f17888,MRT,angle_0,2.0235772727272727,0.9565217391304348,2.1155580578512394
