PROLIFIC_PID,angular_disparity,n_valid_trials,n_correct_trials,accuracy,mean_rt_correct,rt_sd_correct
671469967e2a4f2e612e3846,100,22,18.0,0.8181818181818182,2.7186000000000003,1.00690647675997
671469967e2a4f2e612e3846,150,24,21.0,0.875,2.6563047619047624,0.9488108391434988
651d64f5eb4ac4993ecc5abd,0,23,22.0,0.9565217391304348,1.3006181818181817,0.2282173663864043
651d64f5eb4ac4993ecc5abd,50,24,24.0,1.0,2.0844624999999994,0.9234088311263727
651d64f5eb4ac4993ecc5abd,100,23,21.0,0.9130434782608695,2.3158095238095235,0.8172968511530936
651d64f5eb4ac4993ecc5abd,150,23,19.0,0.8260869565217391,2.1871315789473686,0.6283170033710263
62861bcc5f0edf6340c914df,0,23,23.0,1.0,1.4515434782608696,0.5491690010006747
62861bcc5f0edf6340c914df,50,23,22.0,0.9565217391304348,1.5471318181818183,0.5200391911846313
62861bcc5f0edf6340c914df,100,24,22.0,0.9166666666666666,2.1350590909090914,0.7098004828045767
62861bcc5f0edf6340c914df,150,22,21.0,0.9545454545454546,2.1057809523809525,0.3750815932821119
6773f03382962d5d8c2ca38a,0,23,21.0,0.9130434782608695,1.5577571428571428,0.8525864352494875
6773f03382962d5d8c2ca38a,50,23,19.0,0.8260869565217391,2.399663157894737,1.3744987527622676
6773f03382962d5d8c2ca38a,100,22,19.0,0.8636363636363636,1.9690736842105265,0.9308598700139239
6773f03382962d5d8c2ca38a,150,24,21.0,0.875,2.2152238095238097,0.6738502199337489
6721aeda53346fd7b593efd7,0,24,24.0,1.0,2.3222875000000003,0.9838544410334815
6721aeda53346fd7b593efd7,50,24,23.0,0.9583333333333334,2.901043478260869,0.5838666339203958
6721aeda53346fd7b593efd7,100,24,23.0,0.9583333333333334,3.0669521739130436,0.8032390558174534
6721aeda53346fd7b593efd7,150,24,21.0,0.875,2.8939523809523813,0.7114013498855954
664f408259a7d76b52e2ae25,0,24,22.0,0.9166666666666666,2.278631818181818,1.0751162902267004
664f408259a7d76b52e2ae25,50,24,22.0,0.9166666666666666,2.5704136363636363,1.091788038165552
664f408259a7d76b52e2ae25,100,22,20.0,0.9090909090909091,3.2824599999999995,1.1740988676203417
664f408259a7d76b52e2ae25,150,24,22.0,0.9166666666666666,3.2520954545454543,0.9803288415615459
678fa1020e5289062a7e76f0,0,24,23.0,0.9583333333333334,2.8605782608695653,1.1694266940205131
678fa1020e5289062a7e76f0,50,24,18.0,0.75,4.21035,1.3614853982712714
678fa1020e5289062a7e76f0,100,22,10.0,0.45454545454545453,4.088289999999999,1.3769469363212383
678fa1020e5289062a7e76f0,150,24,17.0,0.7083333333333334,4.212082352941176,1.2650818408482978
6699571ba83beb19c5acbfef,0,23,23.0,1.0,1.9017391304347822,0.5957163920548484
6699571ba83beb19c5acbfef,50,24,22.0,0.9166666666666666,2.5756818181818186,0.8227029427652681
6699571ba83beb19c5acbfef,100,23,23.0,1.0,3.056173913043479,0.9403271989614675
6699571ba83beb19c5acbfef,150,24,19.0,0.7916666666666666,4.2368421052631575,1.6236397131533382
61233706eb1ec697c18d5aef,0,24,22.0,0.9166666666666666,2.1116818181818187,1.4464593967064359
61233706eb1ec697c18d5aef,50,22,18.0,0.8181818181818182,2.793816666666667,1.1906942054458622
61233706eb1ec697c18d5aef,100,22,17.0,0.7727272727272727,3.4691529411764708,1.6892299736557657
61233706eb1ec697c18d5aef,150,22,18.0,0.8181818181818182,4.249966666666667,1.7111186330791295
669adbdb7e97d6e53cb2d924,0,24,23.0,0.9583333333333334,2.9607391304347823,1.4020270136611395
669adbdb7e97d6e53cb2d924,50,23,20.0,0.8695652173913043,4.021050000000001,1.6911637685644945
669adbdb7e97d6e53cb2d924,100,23,20.0,0.8695652173913043,4.89745,1.1992184505357075
669adbdb7e97d6e53cb2d924,150,23,17.0,0.7391304347826086,5.444470588235295,0.9837149687312288
67343fb98c1f4f89ea821878,0,23,16.0,0.6956521739130435,1.1167562500000003,0.46668331870587937
67343fb98c1f4f89ea821878,50,23,13.0,0.5652173913043478,0.8737769230769229,0.2828839106825924
67343fb98c1f4f89ea821878,100,23,14.0,0.6086956521739131,0.8461071428571428,0.30103099115765913
67343fb98c1f4f89ea821878,150,23,12.0,0.5217391304347826,0.8431083333333333,0.2893804682054196
676fac81dc17021dfb5fad67,0,23,18.0,0.782608695652174,1.909438888888889,0.6399546630439018
676fac81dc17021dfb5fad67,50,23,23.0,1.0,2.6196434782608695,0.8558614229514279
676fac81dc17021dfb5fad67,100,24,22.0,0.9166666666666666,3.5855090909090914,1.035355865625365
676fac81dc17021dfb5fad67,150,24,22.0,0.9166666666666666,3.958313636363636,1.432180120786706
