PROLIFIC_PID,va_d_prime_ss3_d1,va_d_prime_ss3_d3,va_d_prime_ss5_d1,va_d_prime_ss5_d3,va_set_size_effect_delay1,va_set_size_effect_delay3,va_delay_effect_size3,va_delay_effect_size5,mrt_accuracy_0,mrt_accuracy_50,mrt_accuracy_100,mrt_accuracy_150,mrt_rt_slope,mrt_overall_accuracy,familiar_person_score,sunrise_score,shop_front_score,countryside_score,driving_score,beach_score,railway_station_score,garden_score
65de5ddcc637719fe458fc76,2.89131066495837,1.3575874296762378,1.313457464907395,0.7322127136011394,1.577853200050975,0.6253747160750984,1.5337232352821322,0.5812447513062555,0.9166666666666666,0.8636363636363636,0.7391304347826086,0.8333333333333334,0.0095768573824936,0.838191699604743,17,19,11,16,20,17,14.0,14.0
6643d97ef7bef1480ec1166b,,,,,,,,,0.7083333333333334,0.5909090909090909,0.4166666666666667,0.7916666666666666,0.0048650749940462,0.6268939393939394,18,20,17,19,20,15,20.0,19.0
6787a95f87a6e4a695780b13,,,,,,,,,0.875,0.5833333333333334,0.6086956521739131,0.6190476190476191,0.0084749868132637,0.6715191511387164,9,8,11,13,11,10,13.0,10.0
678b95e7567348686a870e6b,,,,,,,,,1.0,0.9565217391304348,0.8695652173913043,0.8333333333333334,0.0076739713636363,0.9148550724637682,12,11,17,15,15,11,11.0,14.0
66a6bbb40b48d0e4f326767e,3.194901910791553,1.89596109198098,1.2475828936708466,0.1171488575472928,1.9473190171207069,1.778812234433687,1.2989408188105735,1.1304340361235536,,,,,,,17,18,12,14,13,16,13.0,14.0
65c181b4de219e8c75ae4fb8,,,,,,,,,,,,,,,18,12,10,8,12,10,8.0,14.0
676fac81dc17021dfb5fad67,2.7701646568408917,3.2288199630120378,0.7741892917569484,0.7014641670775721,1.995975365083943,2.527355795934466,-0.4586553061711464,0.0727251246793763,0.782608695652174,1.0,0.9166666666666666,0.9166666666666666,0.0142249797101449,0.9039855072463767,8,4,5,8,9,5,6.0,7.0
5cf398a1e55efc000127adae,,,,,,,,,0.9090909090909092,0.7391304347826086,0.4347826086956521,0.7391304347826086,0.0038597370588235,0.7055335968379446,13,13,8,10,8,9,10.0,11.0
653ed34dfa601f3952c72ed4,2.505140955894836,2.485310025471724,1.8027430907391904,1.2000886025789064,0.7023978651556457,1.2852214228928176,0.0198309304231121,0.602654488160284,0.9166666666666666,0.8333333333333334,0.625,0.6666666666666666,0.0080566516666666,0.7604166666666666,19,20,20,19,17,16,20.0,20.0
6779262b285a5b12c721ecee,,,,,,,,,0.8636363636363636,0.9166666666666666,0.782608695652174,0.8181818181818182,0.0084385333333333,0.8452733860342556,11,10,20,14,15,15,20.0,18.0
671050c226ff82aa6081d587,1.758615024806716,2.89131066495837,0.4255322509428049,0.9320551787334328,1.333082773863911,1.9592554862249367,-1.132695640151654,-0.5065229277906278,0.9545454545454546,0.7619047619047619,0.5909090909090909,0.6190476190476191,0.0067330998626373,0.7316017316017316,16,16,20,15,14,14,16.0,16.0
6733c03807f9f957e2eb1382,1.967636016058878,2.594381698482565,0.9163282871688344,1.2460645024801422,1.0513077288900434,1.3483171960024227,-0.626745682423687,-0.3297362153113077,0.9545454545454546,0.9166666666666666,0.9583333333333334,0.9565217391304348,0.0059783412761151,0.9465167984189724,17,13,18,11,9,14,12.0,18.0
5d96eeed1998fb00177f6b71,,,,,,,,,,,,,,,14,14,14,13,13,13,14.0,14.0
610466e3fb619bdbdf8eb32d,1.756392150162331,1.29404083111673,0.6744897501960817,0.096558615289639,1.0819023999662494,1.1974822158270908,0.462351319045601,0.5779311349064427,0.875,0.6,0.631578947368421,0.5333333333333333,0.0042111825396825,0.6599780701754385,16,16,15,11,16,15,19.0,18.0
676ef830be06454935800ec3,2.532804316563664,3.2288199630120378,1.2000886025789064,1.967636016058878,1.3327157139847574,1.2611839469531598,-0.696015646448374,-0.7675474134799716,1.0,0.9565217391304348,1.0,0.9565217391304348,0.0028153932806324,0.9782608695652173,8,11,15,6,9,11,10.0,7.0
676eb8d5dd1b9e51d21ec734,,,,,,,,,0.875,0.782608695652174,0.875,0.6956521739130435,0.009456846031746,0.8070652173913043,11,14,14,13,11,13,15.0,14.0
6699571ba83beb19c5acbfef,2.233470390034648,2.7889012713049075,1.4260768722728472,-0.2725675898116698,0.8073935177618006,3.061468861116577,-0.5554308812702597,1.6986444620845171,1.0,0.9166666666666666,1.0,0.7916666666666666,0.0149716020386935,0.9270833333333333,16,19,16,18,10,16,10.0,20.0
67228eb9f3f694a42b636b7f,0.8328745326657686,2.256872400428897,0.3899398474108323,0.7363159173761296,0.4429346852549363,1.5205564830527676,-1.4239978677631284,-0.3463760699652972,0.9166666666666666,0.9047619047619048,0.6956521739130435,0.8333333333333334,0.0039973861842105,0.8376035196687371,17,18,17,16,16,16,12.0,18.0
66b435b1d2d981a3ab684c2d,1.1024222741766994,1.6335193458110049,0.8875581540854366,0.0727251246793763,0.2148641200912627,1.5607942211316286,-0.5310970716343055,0.8148330294060602,,,,,,,16,15,16,17,15,15,18.0,18.0
674d61ec8e80ca5159d6aa56,,,,,,,,,,,,,,,14,16,17,14,17,15,14.0,14.0
671eff2e0b8f048504452726,3.234058831204229,2.89131066495837,0.7968336560960271,0.6824145931660605,2.437225175108202,2.2088960717923096,0.3427481662458591,0.1144190629299666,,,,,,,18,18,20,17,17,20,19.0,20.0
605e42cc59833acecfd3f301,,,,,,,,,1.0,1.0,0.8695652173913043,0.6956521739130435,0.0077319989130434,0.8913043478260869,16,16,12,15,14,13,12.0,19.0
678e5e240021ccd474206641,,,,,,,,,,,,,,,17,10,20,16,15,13,16.0,15.0
67693470121578a6dff417d2,,,,,,,,,0.9166666666666666,0.8260869565217391,0.7083333333333334,0.7916666666666666,0.0038551785251899,0.8106884057971014,13,15,20,16,12,18,19.0,18.0
6786e77f621a9c066c534e78,1.085019839864568,2.53905900811532,0.6950799924537355,1.569972747251497,0.3899398474108325,0.9690862608638228,-1.454039168250752,-0.8748927547977615,,,,,,,15,18,16,10,14,14,13.0,11.0
677fafc0a5ea31abbf20ebad,,,,,,,,,1.0,0.9565217391304348,0.8260869565217391,0.7391304347826086,0.0132489796439628,0.8804347826086956,17,15,18,12,13,15,16.0,16.0
5f4539788c48690d1f71bfcc,,,,,,,,,0.9583333333333334,0.7916666666666666,0.875,0.7916666666666666,0.005663134423014,0.8541666666666666,12,16,14,14,18,12,13.0,13.0
