PROLIFIC_PID,condition,set_size,delay,n_valid_trials,n_hit_trials,n_fa_trials,hit_rate,fa_rate,hit_rate_corrected,fa_rate_corrected,d_prime,criterion,mean_rt,rt_sd
66564c348f25a6749f79a714,SS3_D3,3,3,27,8,4,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.8593300540540565,0.13628379490583484,1.1297407407407407,0.3472863585210551
66564c348f25a6749f79a714,SS3_D1,3,1,27,9,1,0.6428571428571429,0.07692307692307693,0.6428571428571429,0.07692307692307693,1.792183229073417,0.5299852577361387,1.2453333333333332,0.30570725061228604
6773f4dfb59cda6e2414cb19,SS5_D3,5,3,27,7,4,0.5384615384615384,0.2857142857142857,0.5384615384615384,0.2857142857142857,0.6625074372225022,0.23469510332161203,1.955248148148148,0.5831214818479873
6773f4dfb59cda6e2414cb19,SS5_D1,5,1,28,6,2,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.8875581540854366,0.6237914468354234,1.9796571428571428,0.8703170033059139
6773f4dfb59cda6e2414cb19,SS3_D3,3,3,27,12,4,0.9230769230769231,0.2857142857142857,0.9230769230769231,0.2857142857142857,1.9920256942057102,-0.43006402516999204,1.7003185185185183,0.47521851899701967
6773f4dfb59cda6e2414cb19,SS3_D1,3,1,26,10,0,0.8333333333333334,0.0,0.8333333333333334,0.03571428571428571,2.7701646568408913,0.4176607623187446,1.5510576923076926,0.5258779844588111
66463d3560eac977430ac716,SS5_D3,5,3,28,10,1,0.7142857142857143,0.07142857142857142,0.7142857142857143,0.07142857142857142,2.031182614618386,0.4496424853763297,1.0918535714285713,0.27011932545964285
66463d3560eac977430ac716,SS5_D1,5,1,28,7,4,0.5,0.2857142857142857,0.5,0.2857142857142857,0.5659488219328631,0.28297441096643156,1.058532142857143,0.27265770435362036
66463d3560eac977430ac716,SS3_D3,3,3,28,11,0,0.7857142857142857,0.0,0.7857142857142857,0.03571428571428571,2.594381698482565,0.5055522414979079,1.2041892857142857,0.36588018919301346
66463d3560eac977430ac716,SS3_D1,3,1,26,9,0,0.6923076923076923,0.0,0.6923076923076923,0.038461538461538464,2.271227261892062,0.6332114075726754,1.0356346153846152,0.3396154059430257
564e93659b124900127eb55b,SS5_D3,5,3,27,11,3,0.7857142857142857,0.23076923076923078,0.7857142857142857,0.23076923076923078,1.5279545251195041,-0.02766134518362251,1.0067777777777778,0.23798858138951723
564e93659b124900127eb55b,SS5_D1,5,1,28,8,2,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.14285714285714285,1.2475828936708466,0.44377907704271835,0.9743142857142856,0.2998929126331915
564e93659b124900127eb55b,SS3_D3,3,3,27,11,0,0.8461538461538461,0.0,0.8461538461538461,0.03571428571428571,2.8228193235253918,0.3913334289764945,0.8847333333333334,0.24626584291089862
564e93659b124900127eb55b,SS3_D1,3,1,27,12,1,0.9230769230769231,0.07142857142857142,0.9230769230769231,0.07142857142857142,2.89131066495837,0.01957846020633769,0.770862962962963,0.1192179198847741
65de5ddcc637719fe458fc76,SS5_D3,5,3,28,9,5,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.35714285714285715,0.7322127136011394,-8.326672684688674e-17,2.2390535714285718,0.9270223004557808
65de5ddcc637719fe458fc76,SS5_D1,5,1,26,8,2,0.6153846153846154,0.15384615384615385,0.6153846153846154,0.15384615384615385,1.313457464907395,0.36334750033250396,1.7247461538461537,0.6890101748048539
65de5ddcc637719fe458fc76,SS3_D3,3,3,28,10,3,0.7142857142857143,0.21428571428571427,0.7142857142857143,0.21428571428571427,1.3575874296762378,0.11284489290525573,1.761528571428571,0.7584377363331678
65de5ddcc637719fe458fc76,SS3_D1,3,1,27,12,1,0.9230769230769231,0.07142857142857142,0.9230769230769231,0.07142857142857142,2.89131066495837,0.01957846020633769,1.4400481481481482,0.4234122190111868
57dd186e6598aa0001992616,SS5_D3,5,3,28,10,4,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,1.1318976438657262,-0.0,1.2346071428571428,0.2081510312223838
57dd186e6598aa0001992616,SS5_D1,5,1,28,11,5,0.7857142857142857,0.35714285714285715,0.7857142857142857,0.35714285714285715,1.1577449645439442,-0.21276612547140247,1.2511535714285713,0.21951720337906339
