PROLIFIC_PID,task,condition,mean_rt,rt_sd,coefficient_variation,n_trials
5e76d2652d882b2481d65066,VA,SS5_D1,1.6828222222222224,0.5167457530868864,0.307070911153352,27
5e76d2652d882b2481d65066,VA,SS3_D3,1.626296153846154,0.4025089479559621,0.2475003996068228,26
5e76d2652d882b2481d65066,VA,SS3_D1,1.731957692307692,0.7905768274737512,0.45646428373222686,26
60a48adfe091e410f4eaba34,VA,SS5_D3,0.9252,0.2957401324235957,0.31964994857716783,28
60a48adfe091e410f4eaba34,VA,SS5_D1,0.9128535714285716,0.2530719374848346,0.27723168907450213,28
60a48adfe091e410f4eaba34,VA,SS3_D3,0.9294714285714286,0.2724833136000739,0.293159429353168,28
60a48adfe091e410f4eaba34,VA,SS3_D1,1.0280461538461536,0.3071260304575556,0.29874731723719555,26
651d64f5eb4ac4993ecc5abd,VA,SS5_D3,1.2319296296296296,0.3315313685295681,0.26911550835029474,27
651d64f5eb4ac4993ecc5abd,VA,SS5_D1,1.2804666666666666,0.5093177721981857,0.3977594930479922,27
651d64f5eb4ac4993ecc5abd,VA,SS3_D3,1.1230321428571428,0.3897102998606276,0.34701615829904287,28
651d64f5eb4ac4993ecc5abd,VA,SS3_D1,1.270025925925926,0.5263397357020628,0.414432276505166,27
62861bcc5f0edf6340c914df,VA,SS5_D3,1.14115,0.2664202507318091,0.2334664599148307,28
62861bcc5f0edf6340c914df,VA,SS5_D1,1.0625703703703704,0.2552639370335292,0.24023250050211184,27
62861bcc5f0edf6340c914df,VA,SS3_D3,0.9663814814814814,0.2029296620033595,0.2099891873882604,27
62861bcc5f0edf6340c914df,VA,SS3_D1,0.8988444444444444,0.1878414968762705,0.20898109571380963,27
6721aeda53346fd7b593efd7,VA,SS5_D3,1.501059259259259,0.3898790446153773,0.259735944607393,27
6721aeda53346fd7b593efd7,VA,SS5_D1,1.4629071428571427,0.3392624221133267,0.2319097447639277,28
6721aeda53346fd7b593efd7,VA,SS3_D3,1.2122925925925925,0.3026859973965479,0.2496806457830677,27
6721aeda53346fd7b593efd7,VA,SS3_D1,1.2783666666666669,0.2911792905252179,0.2277744704377079,27
664f408259a7d76b52e2ae25,VA,SS5_D3,1.1780370370370372,0.4260272916033469,0.3616416786647708,27
664f408259a7d76b52e2ae25,VA,SS5_D1,1.1259035714285714,0.2858252580422532,0.2538629997234948,28
664f408259a7d76b52e2ae25,VA,SS3_D3,1.0147892857142855,0.317294484479249,0.3126703138730058,28
664f408259a7d76b52e2ae25,VA,SS3_D1,0.968153846153846,0.1786880124256112,0.18456572076378086,26
6699571ba83beb19c5acbfef,VA,SS5_D3,1.208925925925926,0.3918050855606969,0.32409354217514214,27
6699571ba83beb19c5acbfef,VA,SS5_D1,1.016259259259259,0.2002161510031274,0.19701286770962648,27
6699571ba83beb19c5acbfef,VA,SS3_D3,1.2065,0.3764449760589189,0.31201407050055446,26
6699571ba83beb19c5acbfef,VA,SS3_D1,1.1257692307692309,0.4216925237840773,0.37458167469716463,26
669adbdb7e97d6e53cb2d924,VA,SS5_D3,1.186785714285714,0.5193896244733639,0.43764398089841083,28
