PROLIFIC_PID,total_score,familiar_person_score,sunrise_score,shop_front_score,countryside_score,driving_score,beach_score,railway_station_score,garden_score,total_score_z,familiar_person_z,sunrise_z,shop_front_z,countryside_z,driving_z,beach_z,railway_station_z,garden_z,excluded,exclusion_reason
67880bb68accd49a72b45565,116.0,17,16,13,14,13,14,14.0,15.0,-0.025945773454595835,0.6535036785756594,0.22262293372288566,-0.6336310052146765,-0.13154738957630735,-0.1641437834215463,-0.009772292818212064,-0.04180565950702135,0.005365542870051119,False,
671e39c25e5e3f340a6f21d4,96.0,12,12,14,12,9,10,14.0,13.0,-0.9218312245774164,-0.8806360546659805,-0.951484319473154,-0.34595655119622093,-0.700600704035615,-1.2218066556775342,-1.1674131343602827,-0.04180565950702135,-0.5848441728355898,False,
57dd186e6598aa0001992616,118.0,14,17,16,16,15,14,11.0,15.0,0.06364277165768621,-0.26698016136932456,0.5161497470218955,0.2293923568406904,0.4375059248830004,0.36468765270644765,-0.009772292818212064,-0.796267170922797,0.005365542870051119,False,
66463ff40a36377060b19272,98.0,14,12,11,12,13,12,11.0,13.0,-0.8322426794651343,-0.26698016136932456,-0.951484319473154,-1.208979913251588,-0.700600704035615,-0.1641437834215463,-0.5885927135892475,-0.796267170922797,-0.5848441728355898,False,
66625801c143ca548bcac338,118.0,17,17,12,12,16,14,11.0,19.0,0.06364277165768621,0.6535036785756594,0.5161497470218955,-0.9213054592331322,-0.700600704035615,0.6291033707704446,-0.009772292818212064,-0.796267170922797,1.185784974281333,False,
676866e58c692de18dac2de9,114.0,14,14,17,12,12,13,13.0,19.0,-0.11553431856687789,-0.26698016136932456,-0.3644306928751342,0.5170668108591461,-0.700600704035615,-0.42855950148554334,-0.29918250320372974,-0.29329282997894657,1.185784974281333,False,
676e81c9c452593cbf114baf,135.0,19,13,19,16,16,17,17.0,18.0,0.8251454051120837,1.2671595718723154,-0.6579575061741442,1.0924157188960575,0.4375059248830004,0.6291033707704446,0.858458338338341,0.7126558519087542,0.8906801164285125,False,
6738acfff83934e21342c109,138.0,16,16,16,19,17,14,20.0,20.0,0.9595282227805068,0.3466757319273314,0.22262293372288566,0.2293923568406904,1.291085896571962,0.8935190888344416,-0.009772292818212064,1.4671173633245298,1.4808898321341535,False,
60a48adfe091e410f4eaba34,146.0,20,16,16,20,19,16,19.0,20.0,1.317882403229635,1.5739875185206433,0.22262293372288566,0.2293923568406904,1.5756125538016157,1.4223505249624355,0.5690481279528233,1.2156301928526048,1.4808898321341535,False,
6786d027b56713ac675fbbb1,160.0,20,20,20,20,20,20,20.0,20.0,1.9450022190156093,1.5739875185206433,1.3967301869189255,1.380090172914513,1.5756125538016157,1.6867662430264325,1.726688969494894,1.4671173633245298,1.4808898321341535,False,
