PROLIFIC_PID,overall_accuracy,practice_accuracy,max_consecutive_identical,percent_fast_trials,rt_sd,percent_missing_AD0,percent_missing_AD50,percent_missing_AD100,percent_missing_AD150,time_taken_minutes,negative_slope,large_angle_accuracy,excluded,exclusion_reason,n_excluded_trials_too_fast,n_excluded_trials_too_slow,n_excluded_trials_outlier
669be65b7f0c1a71305969d1,0.5416666666666666,0.5555555555555556,7,0.0,0.6966358334497816,0.0,0.0,0.0,0.0,50.36666666666667,True,0.5625,True,Overall accuracy < 60%,0,0,0
5f4539788c48690d1f71bfcc,0.8541666666666666,0.6521739130434783,7,0.0,0.9777532584020313,0.0,0.0,0.0,0.0,44.86666666666667,False,0.8333333333333334,False,,0,0,0
677412c094eeb8f1992fc3ae,0.4895833333333333,0.625,6,0.0,1.0464196380050557,0.0,0.0,0.0,0.0,34.15,False,0.4166666666666667,True,Overall accuracy < 60%,0,0,0
6647e8618c77f7b938865d25,0.75,0.6944444444444444,4,0.0,1.1664931395091571,0.0,0.0,0.0,0.0,33.06666666666667,False,0.6666666666666666,False,,0,0,0
5630b79b733ea00011164946,0.8333333333333334,0.6956521739130435,7,0.0,0.9198566355682299,0.0,0.0,0.0,0.0,31.03333333333333,False,0.6875,False,,0,0,1
615b01ee4cd1755b6144e0a4,0.47368421052631576,0.6666666666666666,5,0.0,0.9707458116756091,0.0,0.0,0.0,0.0,45.333333333333336,True,0.3958333333333333,True,Overall accuracy < 60%,0,0,0
671983e8022d66fd0242265b,0.9270833333333334,0.7391304347826086,5,0.0,1.1088509094391523,0.0,0.0,0.0,0.0,26.566666666666663,False,0.9375,False,,0,0,3
65a4598a91a3f0e75374a8c4,0.6145833333333334,0.7083333333333334,8,5.208333333333334,1.0245225883800109,0.0,0.0,0.0,0.0,54.833333333333336,False,0.5625,False,,5,0,4
6738acfff83934e21342c109,0.53125,0.6956521739130435,5,15.625,0.6881363162262473,0.0,0.0,0.0,0.0,30.633333333333333,False,0.5833333333333334,True,Overall accuracy < 60%; Fast trials (< 200ms) > 10%,0,0,0
6786177b26851e38285d94a1,0.8020833333333334,0.5254237288135594,5,0.0,1.4403600946677895,0.0,0.0,0.0,0.0,32.583333333333336,False,0.75,False,,0,0,2
670d6526115bb30df10ebd72,0.5824175824175825,0.4817073170731707,11,3.296703296703297,1.5796712272828326,0.0,0.0,0.0,0.0,95.15,False,0.6222222222222222,True,Overall accuracy < 60%; Identical responses for > 8 consecutive trials; Practice accuracy < 50%,0,0,0
678755cc09f64198c984b217,0.46875,0.5619047619047619,8,0.0,0.7373960619443616,0.0,0.0,0.0,0.0,31.48333333333333,True,0.5416666666666666,True,Overall accuracy < 60%,0,0,0
673d814ffa7de7d961e6bc53,0.8421052631578947,0.7391304347826086,5,0.0,1.4694442783455162,0.0,0.0,0.0,0.0,27.166666666666668,False,0.75,False,,0,0,1
678b3480eed43ba29dc48ed5,0.8,1.0,7,0.0,1.7059501474135303,0.0,0.0,0.0,0.0,25.3,False,0.6170212765957447,False,,0,0,0
5ac5260dfa3b4e0001736dd3,0.6559139784946236,0.4791666666666667,7,0.0,1.1798743223072214,0.0,0.0,0.0,0.0,36.1,False,0.6,True,Practice accuracy < 50%,0,0,0
62fb84322433c8d7e890a145,0.7916666666666666,0.6666666666666666,7,0.0,0.7064851991099343,0.0,0.0,0.0,0.0,29.716666666666665,False,0.75,False,,0,0,0
666dd3d9e53e0ff59d7cc164,0.4791666666666667,0.5069767441860465,5,0.0,0.44793242872185296,0.0,0.0,0.0,0.0,51.81666666666667,False,0.4791666666666667,True,Overall accuracy < 60%,0,0,0
5ec0260375bf15077a00e645,0.875,0.9090909090909091,6,0.0,0.9845812593566444,0.0,0.0,0.0,0.0,32.88333333333333,False,0.8333333333333334,False,,0,0,1
671050c226ff82aa6081d587,0.7303370786516854,0.5344827586206896,5,2.247191011235955,1.9317783756457052,0.0,0.0,0.0,0.0,37.91666666666666,False,0.5909090909090909,False,,2,0,1
